ï»¿"Actions","Influencer","Campaign","Region","Bid","Streamer Bid","Followers","CPM"
"Creative Bid:","OvermasterFR","A Sponsor and a seat?","Europe","$1000","$500","24355","$0"
"Creative Bid:","Atreyeu","A Sponsor and a seat?","Europe","$0","$0","1470","$0"
"Creative Bid:","Master_Of_Chaos","A Sponsor and a seat?","United States","$20","$10","50983","$0"
"Creative Bid:","Rippz0r","A Sponsor and a seat?","Portugal","$0","$0","2493","$0"
"Creative Bid:","Lady_Len","A Sponsor and a seat?","Greece","$300","$150","25103","$28"
"Creative Bid:","ZexxiPlays","A Sponsor and a seat?","Czech Republic","$0","$0","437","$0"
"Creative Bid:","Baundiesel","A Sponsor and a seat?","United States","$0","$0","1624","$0"
"Creative Bid:","PaperGirl","A Sponsor and a seat?","United States","$6","$3","444","$0"
"Creative Bid:","i0ki","A Sponsor and a seat?","United States","$80","$40","6349","$0"
"Product Bid:","ItsTaylorRenee1","BeanBoozle your stream!","United States","$0","$0","0","3776"
